date,open,high,low,close,volume,barCount
20230303  00:00:00,4015.125,4019.125,4015.125,4017.625,-1,-1
20230303  00:01:00,4017.625,4018.875,4017.5,4017.625,-1,-1
20230303  00:02:00,4017.625,4018.25,4017.625,4018.125,-1,-1
20230303  00:03:00,4018.125,4018.25,4017.75,4018.0,-1,-1
20230303  00:04:00,4018.0,4018.25,4017.5,4017.875,-1,-1
20230303  00:05:00,4017.875,4018.625,4017.875,4018.625,-1,-1
20230303  00:06:00,4018.625,4018.625,4018.5,4018.5,-1,-1
20230303  00:07:00,4018.5,4018.5,4016.625,4017.0,-1,-1
20230303  00:08:00,4017.0,4017.0,4016.5,4016.625,-1,-1
20230303  00:09:00,4016.625,4016.75,4016.125,4016.375,-1,-1
20230303  00:10:00,4016.375,4016.875,4016.125,4016.625,-1,-1
20230303  00:11:00,4016.625,4017.25,4016.625,4017.0,-1,-1
20230303  00:12:00,4017.0,4017.5,4017.0,4017.5,-1,-1
20230303  00:13:00,4017.5,4017.75,4017.25,4017.25,-1,-1
20230303  00:14:00,4017.25,4017.25,4016.5,4016.5,-1,-1
20230303  00:15:00,4016.5,4017.0,4016.5,4017.0,-1,-1
20230303  00:16:00,4017.0,4017.25,4016.5,4016.5,-1,-1
20230303  00:17:00,4016.5,4017.25,4016.5,4016.875,-1,-1
20230303  00:18:00,4016.875,4017.375,4016.75,4017.375,-1,-1
20230303  00:19:00,4017.375,4017.375,4016.875,4017.0,-1,-1
20230303  00:20:00,4017.0,4017.25,4016.75,4016.75,-1,-1
20230303  00:21:00,4016.75,4017.25,4016.75,4017.125,-1,-1
20230303  00:22:00,4017.125,4017.25,4016.625,4016.875,-1,-1
20230303  00:23:00,4016.875,4016.875,4016.375,4016.5,-1,-1
20230303  00:24:00,4016.5,4016.625,4016.5,4016.5,-1,-1
20230303  00:25:00,4016.5,4016.75,4016.25,4016.5,-1,-1
20230303  00:26:00,4016.5,4017.0,4016.5,4016.5,-1,-1
20230303  00:27:00,4016.5,4016.5,4015.75,4015.875,-1,-1
20230303  00:28:00,4015.875,4016.25,4015.75,4016.25,-1,-1
20230303  00:29:00,4016.25,4016.75,4016.125,4016.5,-1,-1
20230303  00:30:00,4016.5,4017.0,4016.375,4016.5,-1,-1
20230303  00:31:00,4016.5,4016.75,4015.75,4015.75,-1,-1
20230303  00:32:00,4015.75,4015.875,4015.375,4015.75,-1,-1
20230303  00:33:00,4015.75,4015.75,4015.25,4015.25,-1,-1
20230303  00:34:00,4015.25,4015.5,4015.0,4015.25,-1,-1
20230303  00:35:00,4015.25,4015.25,4015.125,4015.125,-1,-1
20230303  00:36:00,4015.125,4015.5,4015.0,4015.25,-1,-1
20230303  00:37:00,4015.25,4015.25,4015.0,4015.0,-1,-1
20230303  00:38:00,4015.0,4015.25,4015.0,4015.25,-1,-1
20230303  00:39:00,4015.25,4015.5,4015.0,4015.5,-1,-1
20230303  00:40:00,4015.5,4015.5,4015.0,4015.25,-1,-1
20230303  00:41:00,4015.25,4015.5,4014.75,4014.75,-1,-1
20230303  00:42:00,4014.75,4015.5,4014.5,4015.0,-1,-1
20230303  00:43:00,4015.0,4015.25,4015.0,4015.25,-1,-1
20230303  00:44:00,4015.25,4015.25,4015.125,4015.25,-1,-1
20230303  00:45:00,4015.25,4015.25,4014.75,4015.125,-1,-1
20230303  00:46:00,4015.125,4015.125,4014.75,4014.875,-1,-1
20230303  00:47:00,4014.875,4014.875,4014.5,4014.5,-1,-1
20230303  00:48:00,4014.5,4014.5,4014.125,4014.25,-1,-1
20230303  00:49:00,4014.25,4014.375,4014.25,4014.25,-1,-1
20230303  00:50:00,4014.25,4014.625,4014.25,4014.375,-1,-1
20230303  00:51:00,4014.375,4014.625,4014.25,4014.625,-1,-1
20230303  00:52:00,4014.625,4014.875,4014.625,4014.75,-1,-1
20230303  00:53:00,4014.75,4015.875,4014.75,4015.875,-1,-1
20230303  00:54:00,4015.875,4016.5,4015.875,4016.25,-1,-1
20230303  00:55:00,4016.25,4016.25,4016.0,4016.125,-1,-1
20230303  00:56:00,4016.125,4016.5,4016.0,4016.0,-1,-1
20230303  00:57:00,4016.0,4016.25,4016.0,4016.25,-1,-1
20230303  00:58:00,4016.25,4016.25,4016.0,4016.0,-1,-1
20230303  00:59:00,4016.0,4016.125,4015.125,4015.25,-1,-1
20230303  01:00:00,4015.25,4016.25,4015.125,4016.0,-1,-1
20230303  01:01:00,4016.0,4016.25,4015.25,4015.25,-1,-1
20230303  01:02:00,4015.25,4015.375,4015.0,4015.0,-1,-1
20230303  01:03:00,4015.0,4015.0,4014.5,4014.625,-1,-1
20230303  01:04:00,4014.625,4014.75,4014.5,4014.5,-1,-1
20230303  01:05:00,4014.5,4014.625,4014.25,4014.5,-1,-1
20230303  01:06:00,4014.5,4014.5,4014.375,4014.5,-1,-1
20230303  01:07:00,4014.5,4015.0,4014.25,4014.875,-1,-1
20230303  01:08:00,4014.875,4014.875,4014.75,4014.75,-1,-1
20230303  01:09:00,4014.75,4014.75,4014.75,4014.75,-1,-1
20230303  01:10:00,4014.75,4015.75,4014.75,4015.5,-1,-1
20230303  01:11:00,4015.5,4016.0,4015.5,4015.875,-1,-1
20230303  01:12:00,4015.875,4016.625,4015.875,4016.25,-1,-1
20230303  01:13:00,4016.25,4016.75,4015.875,4016.625,-1,-1
20230303  01:14:00,4016.625,4016.625,4016.25,4016.5,-1,-1
20230303  01:15:00,4016.5,4016.875,4016.0,4016.0,-1,-1
20230303  01:16:00,4016.0,4016.5,4016.0,4016.375,-1,-1
20230303  01:17:00,4016.375,4016.375,4015.875,4016.375,-1,-1
20230303  01:18:00,4016.375,4016.875,4016.375,4016.75,-1,-1
20230303  01:19:00,4016.75,4017.5,4016.75,4017.375,-1,-1
20230303  01:20:00,4017.375,4018.375,4017.125,4017.875,-1,-1
20230303  01:21:00,4017.875,4018.125,4017.375,4017.5,-1,-1
20230303  01:22:00,4017.5,4018.0,4017.25,4017.75,-1,-1
20230303  01:23:00,4017.75,4017.875,4017.5,4017.875,-1,-1
20230303  01:24:00,4017.875,4018.0,4017.25,4017.25,-1,-1
20230303  01:25:00,4017.25,4017.25,4016.625,4016.625,-1,-1
20230303  01:26:00,4016.625,4016.625,4015.5,4015.625,-1,-1
20230303  01:27:00,4015.625,4015.75,4014.625,4014.625,-1,-1
20230303  01:28:00,4014.625,4014.875,4013.375,4013.625,-1,-1
20230303  01:29:00,4013.625,4013.75,4013.125,4013.375,-1,-1
20230303  01:30:00,4013.375,4013.625,4012.875,4012.875,-1,-1
20230303  01:31:00,4012.875,4013.375,4012.625,4012.875,-1,-1
20230303  01:32:00,4012.875,4013.5,4012.875,4013.375,-1,-1
20230303  01:33:00,4013.375,4014.125,4013.375,4013.75,-1,-1
20230303  01:34:00,4013.75,4014.375,4013.75,4014.25,-1,-1
20230303  01:35:00,4014.25,4015.625,4014.25,4015.5,-1,-1
