date,open,high,low,close,volume,barCount
20230127  00:00:00,1922.5,1923.55,1922.1,1922.1,-1,-1
20230127  00:01:00,1922.1,1922.1,1922.1,1922.1,-1,-1
20230127  00:02:00,1922.1,1922.2,1921.7,1922.15,-1,-1
20230127  00:03:00,1922.15,1922.15,1922.15,1922.15,-1,-1
20230127  00:04:00,1922.15,1922.15,1922.15,1922.15,-1,-1
20230127  00:05:00,1922.15,1922.15,1922.15,1922.15,-1,-1
20230127  00:06:00,1922.15,1922.6,1922.15,1922.6,-1,-1
20230127  00:07:00,1922.6,1922.6,1922.6,1922.6,-1,-1
20230127  00:08:00,1922.6,1922.6,1922.6,1922.6,-1,-1
20230127  00:09:00,1922.6,1922.75,1922.6,1922.75,-1,-1
20230127  00:10:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:11:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:12:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:13:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:14:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:15:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:16:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:17:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:18:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:19:00,1922.75,1923.05,1922.75,1923.05,-1,-1
20230127  00:20:00,1923.05,1923.05,1923.05,1923.05,-1,-1
20230127  00:21:00,1923.05,1923.3,1923.05,1923.3,-1,-1
20230127  00:22:00,1923.3,1923.3,1923.3,1923.3,-1,-1
20230127  00:23:00,1923.3,1923.3,1923.3,1923.3,-1,-1
20230127  00:24:00,1923.3,1923.3,1923.3,1923.3,-1,-1
20230127  00:25:00,1923.3,1923.3,1923.2,1923.2,-1,-1
20230127  00:26:00,1923.2,1923.5,1923.2,1923.5,-1,-1
20230127  00:27:00,1923.5,1923.7,1923.05,1923.05,-1,-1
20230127  00:28:00,1923.05,1923.3,1923.05,1923.3,-1,-1
20230127  00:29:00,1923.3,1923.3,1923.3,1923.3,-1,-1
20230127  00:30:00,1923.3,1923.3,1923.05,1923.05,-1,-1
20230127  00:31:00,1923.05,1923.05,1922.75,1922.75,-1,-1
20230127  00:32:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:33:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:34:00,1922.75,1922.75,1922.75,1922.75,-1,-1
20230127  00:35:00,1922.75,1922.95,1922.75,1922.95,-1,-1
20230127  00:36:00,1922.95,1923.5,1922.95,1923.5,-1,-1
20230127  00:37:00,1923.5,1923.5,1923.5,1923.5,-1,-1
20230127  00:38:00,1923.5,1923.5,1923.5,1923.5,-1,-1
20230127  00:39:00,1923.5,1923.5,1923.05,1923.05,-1,-1
20230127  00:40:00,1923.05,1923.05,1923.05,1923.05,-1,-1
20230127  00:41:00,1923.05,1923.05,1922.5,1922.5,-1,-1
20230127  00:42:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:43:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:44:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:45:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:46:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:47:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:48:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:49:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:50:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:51:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:52:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:53:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:54:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:55:00,1922.5,1922.5,1922.5,1922.5,-1,-1
20230127  00:56:00,1922.5,1922.5,1922.3,1922.35,-1,-1
20230127  00:57:00,1922.35,1922.35,1922.35,1922.35,-1,-1
20230127  00:58:00,1922.35,1922.35,1922.15,1922.15,-1,-1
20230127  00:59:00,1922.15,1922.15,1922.15,1922.15,-1,-1
20230127  01:00:00,1922.15,1922.15,1921.85,1921.85,-1,-1
20230127  01:01:00,1921.85,1922.05,1921.85,1922.05,-1,-1
20230127  01:02:00,1922.05,1922.05,1921.8,1921.8,-1,-1
20230127  01:03:00,1921.8,1922.0,1921.8,1922.0,-1,-1
20230127  01:04:00,1922.0,1922.0,1922.0,1922.0,-1,-1
20230127  01:05:00,1922.0,1922.45,1922.0,1922.45,-1,-1
20230127  01:06:00,1922.45,1922.45,1922.45,1922.45,-1,-1
20230127  01:07:00,1922.45,1922.45,1922.45,1922.45,-1,-1
20230127  01:08:00,1922.45,1922.45,1922.45,1922.45,-1,-1
20230127  01:09:00,1922.45,1922.45,1922.15,1922.15,-1,-1
20230127  01:10:00,1922.15,1922.15,1922.15,1922.15,-1,-1
20230127  01:11:00,1922.15,1922.3,1922.15,1922.3,-1,-1
20230127  01:12:00,1922.3,1922.3,1922.3,1922.3,-1,-1
20230127  01:13:00,1922.3,1922.3,1922.3,1922.3,-1,-1
20230127  01:14:00,1922.3,1922.3,1922.3,1922.3,-1,-1
20230127  01:15:00,1922.3,1922.3,1922.05,1922.05,-1,-1
20230127  01:16:00,1922.05,1922.25,1922.05,1922.25,-1,-1
20230127  01:17:00,1922.25,1922.25,1922.25,1922.25,-1,-1
20230127  01:18:00,1922.25,1922.25,1922.25,1922.25,-1,-1
20230127  01:19:00,1922.25,1923.05,1922.25,1923.05,-1,-1
20230127  01:20:00,1923.05,1923.05,1923.05,1923.05,-1,-1
20230127  01:21:00,1923.05,1923.05,1923.05,1923.05,-1,-1
20230127  01:22:00,1923.05,1923.05,1923.05,1923.05,-1,-1
20230127  01:23:00,1923.05,1923.4,1923.05,1923.4,-1,-1
20230127  01:24:00,1923.4,1923.4,1923.4,1923.4,-1,-1
20230127  01:25:00,1923.4,1923.4,1923.4,1923.4,-1,-1
20230127  01:26:00,1923.4,1923.4,1923.4,1923.4,-1,-1
20230127  01:27:00,1923.4,1923.4,1923.4,1923.4,-1,-1
20230127  01:28:00,1923.4,1923.6,1923.4,1923.6,-1,-1
20230127  01:29:00,1923.6,1923.6,1923.6,1923.6,-1,-1
20230127  01:30:00,1923.6,1923.95,1923.55,1923.95,-1,-1
20230127  01:31:00,1923.95,1923.95,1923.95,1923.95,-1,-1
20230127  01:32:00,1923.95,1923.95,1923.95,1923.95,-1,-1
20230127  01:33:00,1923.95,1923.95,1923.95,1923.95,-1,-1
20230127  01:34:00,1923.95,1923.95,1923.7,1923.7,-1,-1
20230127  01:35:00,1923.7,1923.7,1923.5,1923.5,-1,-1
20230127  01:36:00,1923.5,1923.5,1923.5,1923.5,-1,-1
20230127  01:37:00,1923.5,1923.5,1923.3,1923.3,-1,-1
20230127  01:38:00,1923.3,1923.3,1923.3,1923.3,-1,-1
20230127  01:39:00,1923.3,1923.3,1923.05,1923.05,-1,-1
20230127  01:40:00,1923.05,1923.2,1923.05,1923.2,-1,-1
