date,open,high,low,close,volume,barCount
20221202  00:00:00,4112.625,4112.625,4110.0,4110.25,-1,-1
20221202  00:01:00,4110.25,4112.375,4110.125,4112.375,-1,-1
20221202  00:02:00,4112.375,4113.0,4112.0,4112.125,-1,-1
20221202  00:03:00,4112.125,4112.125,4110.0,4111.0,-1,-1
20221202  00:04:00,4111.0,4111.75,4110.875,4111.25,-1,-1
20221202  00:05:00,4111.25,4111.75,4110.875,4111.25,-1,-1
20221202  00:06:00,4111.25,4111.875,4111.25,4111.625,-1,-1
20221202  00:07:00,4111.625,4111.625,4111.25,4111.25,-1,-1
20221202  00:08:00,4111.25,4111.75,4111.25,4111.5,-1,-1
20221202  00:09:00,4111.5,4111.75,4111.5,4111.75,-1,-1
20221202  00:10:00,4111.75,4112.0,4111.25,4111.375,-1,-1
20221202  00:11:00,4111.375,4112.625,4110.75,4112.375,-1,-1
20221202  00:12:00,4112.375,4113.375,4112.125,4113.25,-1,-1
20221202  00:13:00,4113.25,4113.375,4112.875,4113.125,-1,-1
20221202  00:14:00,4113.125,4113.125,4111.875,4112.5,-1,-1
20221202  00:15:00,4112.5,4112.75,4111.875,4112.125,-1,-1
20221202  00:16:00,4112.125,4112.625,4111.75,4112.25,-1,-1
20221202  00:17:00,4112.25,4112.25,4112.0,4112.0,-1,-1
20221202  00:18:00,4112.0,4112.375,4112.0,4112.0,-1,-1
20221202  00:19:00,4112.0,4112.0,4111.125,4111.75,-1,-1
20221202  00:20:00,4111.75,4112.125,4111.375,4111.375,-1,-1
20221202  00:21:00,4111.375,4111.625,4111.125,4111.375,-1,-1
20221202  00:22:00,4111.375,4111.625,4111.375,4111.625,-1,-1
20221202  00:23:00,4111.625,4111.875,4110.875,4111.5,-1,-1
20221202  00:24:00,4111.5,4111.625,4111.125,4111.125,-1,-1
20221202  00:25:00,4111.125,4111.125,4110.875,4110.875,-1,-1
20221202  00:26:00,4110.875,4111.375,4110.625,4111.25,-1,-1
20221202  00:27:00,4111.25,4111.625,4110.875,4111.625,-1,-1
20221202  00:28:00,4111.625,4111.875,4111.625,4111.75,-1,-1
20221202  00:29:00,4111.75,4111.875,4111.125,4111.125,-1,-1
20221202  00:30:00,4111.125,4111.75,4111.125,4111.75,-1,-1
20221202  00:31:00,4111.75,4111.875,4111.375,4111.625,-1,-1
20221202  00:32:00,4111.625,4111.75,4111.375,4111.75,-1,-1
20221202  00:33:00,4111.75,4113.125,4111.625,4112.875,-1,-1
20221202  00:34:00,4112.875,4113.25,4112.625,4112.875,-1,-1
20221202  00:35:00,4112.875,4112.875,4112.125,4112.5,-1,-1
20221202  00:36:00,4112.5,4113.375,4112.5,4113.125,-1,-1
20221202  00:37:00,4113.125,4113.125,4112.125,4112.375,-1,-1
20221202  00:38:00,4112.375,4112.625,4112.125,4112.625,-1,-1
20221202  00:39:00,4112.625,4113.125,4112.375,4113.0,-1,-1
20221202  00:40:00,4113.0,4113.375,4112.875,4113.125,-1,-1
20221202  00:41:00,4113.125,4113.375,4112.875,4113.125,-1,-1
20221202  00:42:00,4113.125,4113.375,4112.875,4113.375,-1,-1
20221202  00:43:00,4113.375,4113.75,4112.625,4113.125,-1,-1
20221202  00:44:00,4113.125,4113.125,4112.625,4112.625,-1,-1
20221202  00:45:00,4112.625,4112.875,4112.375,4112.375,-1,-1
20221202  00:46:00,4112.375,4112.625,4112.125,4112.125,-1,-1
20221202  00:47:00,4112.125,4112.5,4111.875,4112.375,-1,-1
20221202  00:48:00,4112.375,4112.625,4112.125,4112.125,-1,-1
20221202  00:49:00,4112.125,4112.375,4111.875,4112.125,-1,-1
20221202  00:50:00,4112.125,4112.375,4112.0,4112.375,-1,-1
20221202  00:51:00,4112.375,4112.5,4112.25,4112.375,-1,-1
20221202  00:52:00,4112.375,4112.375,4111.375,4111.625,-1,-1
20221202  00:53:00,4111.625,4111.875,4111.625,4111.625,-1,-1
20221202  00:54:00,4111.625,4111.625,4111.125,4111.125,-1,-1
20221202  00:55:00,4111.125,4111.625,4111.125,4111.375,-1,-1
20221202  00:56:00,4111.375,4111.875,4111.375,4111.875,-1,-1
20221202  00:57:00,4111.875,4111.875,4111.375,4111.625,-1,-1
20221202  00:58:00,4111.625,4111.875,4111.125,4111.125,-1,-1
20221202  00:59:00,4111.125,4111.625,4110.625,4111.375,-1,-1
