date,open,high,low,close,volume,barCount
20221230  00:00:00,3869.75,3870.875,3868.875,3869.25,-1,-1
20221230  00:01:00,3869.25,3869.25,3868.375,3868.375,-1,-1
20221230  00:02:00,3868.375,3868.5,3867.875,3868.125,-1,-1
20221230  00:03:00,3868.125,3868.375,3867.875,3868.125,-1,-1
20221230  00:04:00,3868.125,3868.625,3868.0,3868.125,-1,-1
20221230  00:05:00,3868.125,3868.375,3867.625,3867.875,-1,-1
20221230  00:06:00,3867.875,3868.875,3867.875,3868.875,-1,-1
20221230  00:07:00,3868.875,3869.375,3868.625,3868.75,-1,-1
20221230  00:08:00,3868.75,3868.75,3866.125,3866.5,-1,-1
20221230  00:09:00,3866.5,3867.125,3866.375,3866.375,-1,-1
20221230  00:10:00,3866.375,3867.125,3866.125,3867.125,-1,-1
20221230  00:11:00,3867.125,3867.375,3866.625,3867.125,-1,-1
20221230  00:12:00,3867.125,3867.375,3866.875,3867.125,-1,-1
20221230  00:13:00,3867.125,3867.125,3866.625,3866.625,-1,-1
20221230  00:14:00,3866.625,3866.625,3866.375,3866.625,-1,-1
20221230  00:15:00,3866.625,3867.125,3866.125,3867.125,-1,-1
20221230  00:16:00,3867.125,3867.625,3867.125,3867.375,-1,-1
20221230  00:17:00,3867.375,3867.375,3867.125,3867.375,-1,-1
20221230  00:18:00,3867.375,3867.375,3867.125,3867.125,-1,-1
20221230  00:19:00,3867.125,3867.375,3867.125,3867.125,-1,-1
20221230  00:20:00,3867.125,3867.125,3866.125,3866.125,-1,-1
20221230  00:21:00,3866.125,3866.375,3865.875,3865.875,-1,-1
20221230  00:22:00,3865.875,3866.375,3865.875,3866.375,-1,-1
20221230  00:23:00,3866.375,3866.875,3866.375,3866.875,-1,-1
20221230  00:24:00,3866.875,3867.125,3866.125,3866.125,-1,-1
20221230  00:25:00,3866.125,3866.625,3865.875,3866.625,-1,-1
20221230  00:26:00,3866.625,3866.625,3866.375,3866.625,-1,-1
20221230  00:27:00,3866.625,3866.875,3866.375,3866.5,-1,-1
20221230  00:28:00,3866.5,3866.5,3866.125,3866.125,-1,-1
20221230  00:29:00,3866.125,3866.375,3865.875,3866.125,-1,-1
20221230  00:30:00,3866.125,3866.625,3865.875,3866.5,-1,-1
20221230  00:31:00,3866.5,3866.875,3866.125,3866.125,-1,-1
20221230  00:32:00,3866.125,3866.625,3865.875,3866.5,-1,-1
20221230  00:33:00,3866.5,3866.625,3866.5,3866.625,-1,-1
20221230  00:34:00,3866.625,3867.375,3866.625,3867.25,-1,-1
20221230  00:35:00,3867.25,3867.375,3866.875,3867.0,-1,-1
20221230  00:36:00,3867.0,3867.0,3865.625,3865.625,-1,-1
20221230  00:37:00,3865.625,3866.125,3865.625,3865.875,-1,-1
20221230  00:38:00,3865.875,3866.875,3865.875,3866.875,-1,-1
20221230  00:39:00,3866.875,3867.125,3866.625,3866.625,-1,-1
20221230  00:40:00,3866.625,3866.875,3866.125,3866.125,-1,-1
20221230  00:41:00,3866.125,3866.375,3866.125,3866.375,-1,-1
20221230  00:42:00,3866.375,3866.375,3865.375,3865.875,-1,-1
20221230  00:43:00,3865.875,3866.125,3865.625,3865.625,-1,-1
20221230  00:44:00,3865.625,3866.375,3865.625,3866.375,-1,-1
20221230  00:45:00,3866.375,3866.625,3865.875,3866.625,-1,-1
20221230  00:46:00,3866.625,3866.625,3865.875,3866.125,-1,-1
20221230  00:47:00,3866.125,3866.125,3865.625,3866.125,-1,-1
20221230  00:48:00,3866.125,3866.625,3866.125,3866.375,-1,-1
20221230  00:49:00,3866.375,3866.375,3865.875,3865.875,-1,-1
20221230  00:50:00,3865.875,3866.375,3865.875,3866.375,-1,-1
20221230  00:51:00,3866.375,3866.625,3866.375,3866.375,-1,-1
20221230  00:52:00,3866.375,3866.375,3865.625,3865.875,-1,-1
20221230  00:53:00,3865.875,3866.125,3865.875,3866.125,-1,-1
20221230  00:54:00,3866.125,3866.625,3866.125,3866.625,-1,-1
20221230  00:55:00,3866.625,3866.625,3866.375,3866.625,-1,-1
20221230  00:56:00,3866.625,3866.625,3866.375,3866.375,-1,-1
20221230  00:57:00,3866.375,3866.375,3866.375,3866.375,-1,-1
20221230  00:58:00,3866.375,3866.625,3866.125,3866.625,-1,-1
20221230  00:59:00,3866.625,3866.625,3865.875,3866.0,-1,-1
